timestamp,item_id,target
2023-01-23,AAPL,139.01283264160156
2023-01-24,AAPL,140.41171264648438
2023-01-25,AAPL,139.7516632080078
2023-01-26,AAPL,141.82046508789062
2023-01-27,AAPL,143.7611541748047
2023-01-28,AAPL,143.7611541748047
2023-01-29,AAPL,143.7611541748047
2023-01-30,AAPL,140.87472534179688
2023-01-31,AAPL,142.14556884765625
2023-02-01,AAPL,143.26858520507812
2023-02-02,AAPL,148.5784912109375
2023-02-03,AAPL,152.20382690429688
2023-02-04,AAPL,152.20382690429688
2023-02-05,AAPL,152.20382690429688
2023-02-06,AAPL,149.47496032714844
2023-02-07,AAPL,152.3515625
2023-02-08,AAPL,149.6621551513672
2023-02-09,AAPL,148.62777709960938
2023-02-10,AAPL,148.99281311035156
2023-02-11,AAPL,148.99281311035156
2023-02-12,AAPL,148.99281311035156
2023-02-13,AAPL,151.79490661621094
2023-02-14,AAPL,151.15354919433594
2023-02-15,AAPL,153.25511169433594
2023-02-16,AAPL,151.65672302246094
2023-02-17,AAPL,150.51223754882812
2023-02-18,AAPL,150.51223754882812
2023-02-19,AAPL,150.51223754882812
2023-02-20,AAPL,150.51223754882812
2023-02-21,AAPL,146.4966278076172
2023-02-22,AAPL,146.92088317871094
2023-02-23,AAPL,147.40432739257812
2023-02-24,AAPL,144.75025939941406
2023-02-25,AAPL,144.75025939941406
2023-02-26,AAPL,144.75025939941406
2023-02-27,AAPL,145.944091796875
2023-02-28,AAPL,145.44090270996094
2023-03-01,AAPL,143.36895751953125
2023-03-02,AAPL,143.9609375
2023-03-03,AAPL,149.01254272460938
2023-03-04,AAPL,149.01254272460938
2023-03-05,AAPL,149.01254272460938
2023-03-06,AAPL,151.77516174316406
2023-03-07,AAPL,149.57492065429688
2023-03-08,AAPL,150.82797241210938
2023-03-09,AAPL,148.57843017578125
2023-03-10,AAPL,146.51634216308594
2023-03-11,AAPL,146.51634216308594
2023-03-12,AAPL,146.51634216308594
2023-03-13,AAPL,148.46006774902344
2023-03-14,AAPL,150.55174255371094
2023-03-15,AAPL,150.94638061523438
2023-03-16,AAPL,153.76817321777344
2023-03-17,AAPL,152.92953491210938
2023-03-18,AAPL,152.92953491210938
2023-03-19,AAPL,152.92953491210938
2023-03-20,AAPL,155.29747009277344
2023-03-21,AAPL,157.15234375
2023-03-22,AAPL,155.72174072265625
2023-03-23,AAPL,156.80703735351562
2023-03-24,AAPL,158.10939025878906
2023-03-25,AAPL,158.10939025878906
2023-03-26,AAPL,158.10939025878906
2023-03-27,AAPL,156.1657257080078
2023-03-28,AAPL,155.54412841796875
2023-03-29,AAPL,158.62246704101562
2023-03-30,AAPL,160.1912384033203
2023-03-31,AAPL,162.69728088378906
2023-04-01,AAPL,162.69728088378906
2023-04-02,AAPL,162.69728088378906
2023-04-03,AAPL,163.9503173828125
2023-04-04,AAPL,163.41754150390625
2023-04-05,AAPL,161.57247924804688
2023-04-06,AAPL,162.4604949951172
2023-04-07,AAPL,162.4604949951172
2023-04-08,AAPL,162.4604949951172
2023-04-09,AAPL,162.4604949951172
2023-04-10,AAPL,159.86561584472656
2023-04-11,AAPL,158.65206909179688
2023-04-12,AAPL,157.96142578125
2023-04-13,AAPL,163.3484649658203
2023-04-14,AAPL,163.00314331054688
2023-04-15,AAPL,163.00314331054688
2023-04-16,AAPL,163.00314331054688
2023-04-17,AAPL,163.0229034423828
2023-04-18,AAPL,164.24632263183594
2023-04-19,AAPL,165.3908233642578
2023-04-20,AAPL,164.42391967773438
2023-04-21,AAPL,162.81570434570312
2023-04-22,AAPL,162.81570434570312
2023-04-23,AAPL,162.81570434570312
2023-04-24,AAPL,163.1215362548828
2023-04-25,AAPL,161.58238220214844
2023-04-26,AAPL,161.57247924804688
2023-04-27,AAPL,166.16041564941406
2023-04-28,AAPL,167.4134521484375
2023-04-29,AAPL,167.4134521484375
2023-04-30,AAPL,167.4134521484375
2023-05-01,AAPL,167.3246307373047
2023-05-02,AAPL,166.2886505126953
2023-05-03,AAPL,165.21319580078125
2023-05-04,AAPL,163.5753936767578
2023-05-05,AAPL,171.25144958496094
2023-05-06,AAPL,171.25144958496094
2023-05-07,AAPL,171.25144958496094
2023-05-08,AAPL,171.182373046875
2023-05-09,AAPL,169.4755096435547
2023-05-10,AAPL,171.24159240722656
2023-05-11,AAPL,171.4290771484375
2023-05-12,AAPL,170.50035095214844
2023-05-13,AAPL,170.50035095214844
2023-05-14,AAPL,170.50035095214844
2023-05-15,AAPL,170.00633239746094
2023-05-16,AAPL,170.00633239746094
2023-05-17,AAPL,170.61891174316406
2023-05-18,AAPL,172.95062255859375
2023-05-19,AAPL,173.05929565429688
2023-05-20,AAPL,173.05929565429688
2023-05-21,AAPL,173.05929565429688
2023-05-22,AAPL,172.1107940673828
2023-05-23,AAPL,169.50244140625
2023-05-24,AAPL,169.77908325195312
2023-05-25,AAPL,170.9153289794922
2023-05-26,AAPL,173.32606506347656
2023-05-27,AAPL,173.32606506347656
2023-05-28,AAPL,173.32606506347656
2023-05-29,AAPL,173.32606506347656
2023-05-30,AAPL,175.17361450195312
2023-05-31,AAPL,175.12420654296875
2023-06-01,AAPL,177.93014526367188
2023-06-02,AAPL,178.7798309326172
2023-06-03,AAPL,178.7798309326172
2023-06-04,AAPL,178.7798309326172
2023-06-05,AAPL,177.42625427246094
2023-06-06,AAPL,177.06069946289062
2023-06-07,AAPL,175.68736267089844
2023-06-08,AAPL,178.4044189453125
2023-06-09,AAPL,178.78970336914062
2023-06-10,AAPL,178.78970336914062
