item_id,timestamp,target
기아,2026-01-22,164600
기아,2026-01-23,159400
두산에너빌리티,2025-12-24,75900
두산에너빌리티,2025-12-26,73600
두산에너빌리티,2025-12-29,76500
두산에너빌리티,2025-12-30,75300
두산에너빌리티,2026-01-02,75200
두산에너빌리티,2026-01-05,83200
두산에너빌리티,2026-01-06,85900
두산에너빌리티,2026-01-07,84000
두산에너빌리티,2026-01-08,83700
두산에너빌리티,2026-01-09,84200
두산에너빌리티,2026-01-12,88100
두산에너빌리티,2026-01-13,87000
두산에너빌리티,2026-01-14,89600
두산에너빌리티,2026-01-15,89500
두산에너빌리티,2026-01-16,95300
두산에너빌리티,2026-01-19,95400
두산에너빌리티,2026-01-20,95300
두산에너빌리티,2026-01-21,91300
두산에너빌리티,2026-01-22,90000
두산에너빌리티,2026-01-23,93700
SK스퀘어,2025-12-24,321000
SK스퀘어,2025-12-26,334500
SK스퀘어,2025-12-29,346000
SK스퀘어,2025-12-30,368000
SK스퀘어,2026-01-02,392000
SK스퀘어,2026-01-05,416000
SK스퀘어,2026-01-06,432000
SK스퀘어,2026-01-07,429500
SK스퀘어,2026-01-08,430500
SK스퀘어,2026-01-09,430500
SK스퀘어,2026-01-12,427500
SK스퀘어,2026-01-13,426500
SK스퀘어,2026-01-14,435500
SK스퀘어,2026-01-15,429500
SK스퀘어,2026-01-16,446500
SK스퀘어,2026-01-19,435500
SK스퀘어,2026-01-20,427000
SK스퀘어,2026-01-21,430000
SK스퀘어,2026-01-22,446500
SK스퀘어,2026-01-23,449500
삼성물산,2025-12-24,240000
삼성물산,2025-12-26,240500
삼성물산,2025-12-29,241500
삼성물산,2025-12-30,239500
삼성물산,2026-01-02,245000
삼성물산,2026-01-05,254500
삼성물산,2026-01-06,260000
삼성물산,2026-01-07,265000
삼성물산,2026-01-08,270500
삼성물산,2026-01-09,268500
삼성물산,2026-01-12,267500
삼성물산,2026-01-13,273500
삼성물산,2026-01-14,283500
삼성물산,2026-01-15,286000
삼성물산,2026-01-16,290000
삼성물산,2026-01-19,289000
삼성물산,2026-01-20,296000
삼성물산,2026-01-21,299000
삼성물산,2026-01-22,297500
삼성물산,2026-01-23,306000
KB금융,2025-12-24,126100
KB금융,2025-12-26,124600
KB금융,2025-12-29,125600
KB금융,2025-12-30,124700
KB금융,2026-01-02,123300
KB금융,2026-01-05,126800
KB금융,2026-01-06,126400
KB금융,2026-01-07,124700
KB금융,2026-01-08,123500
KB금융,2026-01-09,126600
KB금융,2026-01-12,125500
KB금융,2026-01-13,128500
KB금융,2026-01-14,128900
KB금융,2026-01-15,130100
